lng,lat
-71.991867,42.247211
-71.776045,42.447924
-72.079545,42.103214
-71.603588,42.176526
-71.631232,42.055930
-71.846952,42.047532
-71.935075,42.053778
-71.613309,42.268426
-71.785036,42.369417
-72.162645,42.240796
-71.672494,42.118794
-71.750318,42.132051
-71.850728,42.269189
-71.843569,42.243826
-71.767957,42.253254
-71.787793,42.289683
-71.795741,42.315249
-71.788894,42.225974
-71.801462,42.261980
-71.829987,42.285114
-71.808366,42.247049
-71.875838,42.237604
-71.928991,42.296798
-71.442800,42.319587
-71.436621,42.282379
-71.429283,42.519816
-71.520985,42.485985
-71.438495,42.483953
-71.473526,42.257755
-71.281889,42.499295
-71.279484,42.456748
-71.601879,42.439941
-71.361832,42.536620
-71.364496,42.462911
-71.499197,42.292114
-71.453430,42.195951
-71.531404,42.123007
-71.540489,42.224096
-71.545864,42.389071
-71.547214,42.349617
-71.456256,42.425955
-71.544519,42.093870
-71.521419,42.158692
-71.348811,42.284822
-71.372963,42.231947
-71.530828,42.302877
-71.310812,42.425506
-71.512514,42.429688
-71.421070,42.383367
-71.381186,42.343687
-71.154438,42.488769
-71.201713,42.503227
-71.161751,42.648044
-71.251725,42.549330
-71.355182,42.590790
-71.300680,42.679723
-71.499772,42.676149
-71.053436,42.796313
-71.132859,42.791114
-70.982036,42.727879
-71.015935,42.753900
-71.094300,42.751233
-71.160403,42.706763
-71.164873,42.712015
-71.160383,42.689974
-71.179218,42.742468
-71.091334,42.673909
-71.303309,42.656045
-71.335330,42.627812
-71.296025,42.631912
-71.348229,42.649481
-71.011997,42.838603
-71.295592,42.578543
-71.389470,42.633780
-71.084398,42.578222
-71.105423,42.535183
-71.227571,42.611801
-71.428820,42.667762
-71.067489,42.501524
-71.440250,42.585541
-71.164516,42.564647
-71.144319,42.452752
-70.946379,42.460419
-70.941535,42.471039
-70.973930,42.492456
-70.975792,42.465998
-71.013946,42.468432
-70.906597,42.474145
-70.926041,42.428256
-70.955810,42.851293
-70.867583,42.570665
-71.018330,42.683108
-70.914241,42.757313
-70.950516,42.574174
-70.771172,42.640420
-70.681824,42.619910
-70.984051,42.585723
-70.842666,42.683860
-71.038333,42.534146
-70.767154,42.576636
-70.859126,42.501835
-71.010316,42.606666
-70.891095,42.812358
-70.850211,42.773351
-70.841476,42.844793
-70.969782,42.534279
-70.620248,42.640715
-70.891220,42.720873
-70.870859,42.524435
-70.857230,42.626223
-70.943440,42.641379
-70.883303,42.600633
-70.964428,42.799565
-71.474490,42.076682
-71.125385,42.175737
-70.814436,42.236423
-71.179462,42.246872
-71.291167,42.234160
-71.216187,42.156882
-71.245802,42.061338
-71.410571,42.084858
-70.881270,42.216098
-70.923919,42.292253
-70.686037,42.133914
-71.216410,42.017302
-70.710331,42.115139
-71.305307,42.184599
-71.430345,42.156203
-71.363751,42.173091
-71.334163,42.113655
-70.818844,42.164569
-71.195955,42.187360
-70.758184,42.202273
-71.181828,42.107600
-71.273589,42.103425
-71.103650,42.119006
-71.270532,42.146694
-71.216769,42.219645
-71.356858,42.052671
-71.064858,42.357768
-71.050493,42.367032
-71.047846,42.361962
-71.059077,42.350518
-71.055233,42.365331
-71.068646,42.363174
-71.105696,42.337105
-71.076397,42.350579
-71.070482,42.337582
-71.085017,42.324029
-71.096545,42.332090
-71.085897,42.306267
-71.042158,42.291413
-71.070571,42.285805
-71.055555,42.315682
-71.097423,42.274227
-71.039093,42.334992
-71.006975,42.361129
-71.061487,42.379657
-71.113835,42.309174
-71.126228,42.284333
-71.162017,42.280455
-71.128608,42.358016
-71.153964,42.349688
-71.129220,42.255083
-71.135152,42.379637
-71.103353,42.362986
-71.133996,42.392157
-71.082560,42.370300
-71.081994,42.361471
-71.096714,42.381409
-71.122550,42.399655
-71.089910,42.391577
-71.058706,42.429380
-71.054649,42.405938
-71.031348,42.396824
-71.001251,42.418290
-70.974807,42.373055
-71.107673,42.423840
-71.122850,42.366168
-71.002279,42.248386
-71.015576,42.266415
-71.018208,42.293310
-71.059019,42.455723
-71.097665,42.474208
-71.002320,42.206188
-71.082432,42.241557
-70.957749,42.204578
-70.928189,42.209776
-70.952363,42.166731
-70.942033,42.243453
-71.082035,42.347476
-71.058775,42.360598
-71.039271,42.347472
-71.103082,42.347635
-71.042304,42.078371
-70.998375,42.088907
-71.054013,42.132460
-70.978778,41.972387
-70.743198,41.878644
-70.706075,42.044325
-70.940459,42.037278
-70.863473,42.002811
-70.856310,42.122956
-70.867418,42.050464
-70.997347,42.140244
-70.869267,41.878004
-70.957163,41.834412
-70.957216,42.119964
-71.119676,42.060532
-71.080651,42.054978
-70.805713,42.067804
-70.631290,41.882056
-70.741942,41.987196
-70.654984,41.850984
-70.802753,41.959100
-71.051567,42.176446
-70.910615,42.130399
-71.076928,42.003041
-71.026717,42.021617
-70.939390,42.078974
-71.215464,42.457055
-71.239573,42.438547
-71.135045,42.325483
-71.122248,42.343503
-71.255708,42.397823
-71.213532,42.392721
-71.240513,42.369542
-71.274242,42.299388
-71.188192,42.353585
-71.192017,42.314779
-71.208490,42.351824
-71.206508,42.317362
-71.255900,42.328708
-71.218882,42.312975
-71.226330,42.348912
-71.248617,42.344457
-71.152759,42.314344
-71.229530,42.328553
-71.177925,42.369451
-71.156370,42.420949
-71.175670,42.415637
-71.180284,42.395317
-71.275531,42.311927
-71.298537,42.293103
-71.244543,42.276029
-71.303433,42.360502
-71.232519,42.299490
